AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
70,46,Monica S,34,1,A70
71,47,Rohit Verma,27,2,A71
72,47,Deepak M,,2,A72
73,48,Hari Prasad,37,1,A73
74,49,Ravi Teja,28,2,A74
75,50,Vikram Raj,44,1,A75
76,50,Santosh R,26,1,A76
77,50,Santosh R,35,2,A77
78,51,Pradeep N,,2,A78
79,52,Sharan B,27,2,A79
80,53,Rohit Verma,,1,A80
81,53,Monica S,44,2,A81
82,54,Santosh R,35,1,A82
83,55,Monica S,38,1,A83
84,55,Pradeep N,54,2,A84
85,55,Jane Smith,51,1,A85
86,56,Rashid Khan,23,1,A86
87,56,Naveen Gowda,,1,A87
88,56,Ravi Teja,38,2,A88
89,57,Hari Prasad,53,1,A89
90,57,Jane Smith,32,1,A90
91,58,Satish Shetty,51,1,A91
92,59,Vijay Patil,54,1,A92
93,59,Manoj Kumar,23,1,A93
94,59,Kiran Y,26,2,A94
95,60,Anil Kumble,32,1,A95
96,60,Anil Kumble,23,2,A96
97,61,Anil Kumble,48,1,A97
98,62,Pradeep N,,2,A98
99,62,Rashid Khan,20,2,A99
100,62,Santosh R,24,1,A100
101,63,Santosh R,34,2,A101
102,63,Rohit Verma,,2,A102
103,63,Arjun Singh,18,2,A103
104,64,Satish Shetty,51,2,A104
105,65,Lokesh R,32,1,A105
106,65,John Doe,26,1,A106
107,66,Naveen Gowda,26,1,A107
108,66,Pradeep N,43,2,A108
109,67,Arjun Singh,42,2,A109
110,68,John Doe,33,1,A110
111,68,Prakash Rai,22,1,A111
112,68,Anil Kumble,26,2,A112
113,69,Arjun Singh,25,2,A113
114,70,Rashid Khan,38,2,A114
115,71,Rajesh K,46,1,A115
116,72,Hari Prasad,,2,A116
117,72,Vikram Raj,20,1,A117
118,73,Vijay Patil,44,1,A118
119,74,Sharan B,31,1,A119
120,74,Arun Kumar,26,1,A120
121,74,Anil Kumble,40,2,A121
122,75,Kiran Y,46,1,A122
123,76,Anil Kumble,29,1,A123
124,76,Rashid Khan,31,2,A124
125,76,Rahul Dev,18,1,A125
126,77,Vijay Patil,23,1,A126
127,77,Rahul Dev,,1,A127
128,78,Sneha Reddy,40,1,A128
129,79,Manoj Kumar,,1,A129
130,79,Monica S,41,1,A130
131,80,John Doe,28,1,A131
132,80,Sharan B,40,1,A132
133,81,Ravi Teja,,2,A133
134,82,Sharan B,47,1,A134
135,83,Vikram Raj,34,2,A135
136,83,Rohit Verma,52,2,A136
137,84,Vikram Raj,43,2,A137
138,85,Ravi Kumar,28,1,A138
139,86,Arun Kumar,55,1,A139
140,86,Vijay Patil,38,2,A140
141,87,Kiran Y,54,2,A141
142,88,Naveen Gowda,29,1,A142
143,89,Rahul Dev,34,3,A143
144,89,Prakash Rai,52,1,A144
145,90,Santosh R,,2,A145
146,90,Santosh R,28,1,A146
147,91,Suresh Poojari,18,2,A147
148,91,Satish Shetty,28,2,A148
149,92,Suresh Poojari,49,2,A149
150,92,Anil Kumble,,1,A150
151,93,Pradeep N,43,3,A151
152,94,Rahul Dev,51,1,A152
153,94,Rahul Dev,18,2,A153
154,95,Kiran Y,18,1,A154
155,96,Anil Kumble,52,2,A155
156,96,Rahul Dev,38,2,A156
157,97,Rohit Verma,48,1,A157
158,97,Vijay Patil,24,2,A158
159,97,Naveen Gowda,,1,A159
160,98,Rahul Dev,43,1,A160
161,98,Arjun Singh,22,2,A161
162,99,Sharan B,19,2,A162
163,99,Jane Smith,21,2,A163
164,100,Pradeep N,34,2,A164
165,100,John Doe,35,1,A165
166,101,Prakash Rai,32,1,A166
167,101,Kiran Y,41,1,A167
168,102,Satish Shetty,21,1,A168
169,103,Rajesh K,46,2,A169
170,103,Rajesh K,18,2,A170
171,104,Rohit Verma,38,2,A171
172,105,Ravi Teja,30,1,A172
173,105,Kiran Y,44,1,A173
174,106,Rohit Verma,35,1,A174
175,107,Naveen Gowda,51,3,A175
176,107,Arun Kumar,23,2,A176
177,108,Jane Smith,,2,A177
178,108,Hari Prasad,37,2,A178
179,109,Vikram Raj,22,2,A179
180,109,Rahul Dev,48,2,A180
181,109,Prakash Rai,52,1,A181
182,110,Vijay Patil,40,1,A182
183,110,Arjun Singh,26,2,A183
184,111,Satish Shetty,45,1,A184
185,111,Ravi Teja,18,2,A185
186,111,Prakash Rai,20,2,A186
187,112,Santosh R,35,3,A187
188,113,Santosh R,45,1,A188
189,114,John Doe,21,1,A189
190,115,Monica S,27,2,A190
191,116,Monica S,53,1,A191
192,117,Sharan B,19,2,A192
193,118,Monica S,28,1,A193
194,119,Manoj Kumar,20,1,A194
195,120,Sneha Reddy,47,1,A195
196,121,Jane Smith,,2,A196
197,121,Vijay Patil,46,2,A197
198,122,Arun Kumar,21,1,A198
199,122,Monica S,22,1,A199
200,123,Suresh Poojari,52,1,A200
201,124,Santosh R,52,1,A201
202,125,Rohit Verma,46,1,A202
203,126,Suresh Poojari,20,2,A203
204,126,John Doe,27,2,A204
205,127,Rajesh K,22,1,A205
206,128,Rashid Khan,41,1,A206
207,128,Kiran Y,39,1,A207
208,129,Rashid Khan,50,1,A208
209,129,Sneha Reddy,36,1,A209
210,130,Sneha Reddy,48,2,A210
211,130,Deepak M,43,2,A211
212,131,Kiran Y,22,2,A212
213,132,John Doe,39,2,A213
214,132,Arun Kumar,33,2,A214
215,133,Jane Smith,54,2,A215
216,134,Manoj Kumar,33,2,A216
217,134,Deepak M,45,2,A217
218,134,Pradeep N,35,1,A218
219,135,Prakash Rai,,2,A219
220,136,Sharan B,39,2,A220
221,136,Manoj Kumar,50,1,A221
222,137,Ravi Teja,,1,A222
223,137,Monica S,23,2,A223
224,138,Naveen Gowda,34,1,A224
225,138,Kiran Y,20,1,A225
226,138,Suresh Poojari,41,1,A226
227,139,Vijay Patil,47,2,A227
228,140,Kiran Y,38,1,A228
229,140,Sharan B,,2,A229
230,140,Sneha Reddy,43,2,A230
231,141,Arjun Singh,54,1,A231
232,142,Rohit Verma,18,1,A232
233,143,Naveen Gowda,55,2,A233
234,143,Rahul Dev,,2,A234
235,144,Arun Kumar,50,1,A235
236,145,Sneha Reddy,44,1,A236
237,146,Vijay Patil,51,2,A237
238,146,Vijay Patil,37,2,A238
239,146,Vijay Patil,31,2,A239
240,147,Suresh Poojari,18,2,A240
241,147,Monica S,32,2,A241
242,148,Satish Shetty,27,1,A242
243,148,Vijay Patil,48,1,A243
244,148,Rashid Khan,25,2,A244
245,149,Ravi Teja,39,1,A245
246,149,Sharan B,23,1,A246
247,150,Lokesh R,,2,A247
248,151,Satish Shetty,50,1,A248
249,151,Satish Shetty,53,2,A249
250,152,Santosh R,18,3,A250
251,152,Vijay Patil,43,1,A251
252,152,Rohit Verma,46,1,A252
253,153,Pradeep N,32,2,A253
254,154,Ravi Teja,45,1,A254
255,154,Monica S,,2,A255
256,154,Ravi Teja,33,2,A256
257,155,Monica S,19,2,A257
258,156,Anil Kumble,48,2,A258
259,157,Sharan B,53,1,A259
260,158,Santosh R,21,2,A260
261,159,Hari Prasad,44,2,A261
262,159,Ravi Teja,22,2,A262
263,160,Rohit Verma,30,2,A263
264,161,Vikram Raj,29,1,A264
265,162,John Doe,46,1,A265
266,163,Hari Prasad,31,1,A266
267,163,Naveen Gowda,43,1,A267
268,164,Arun Kumar,24,2,A268
269,164,Lokesh R,33,2,A269
270,164,Anil Kumble,22,1,A270
271,165,Kiran Y,42,1,A271
272,166,Suresh Poojari,32,2,A272
273,166,Vijay Patil,42,2,A273
274,166,Rohit Verma,22,1,A274
275,167,Rahul Dev,29,2,A275
276,167,Deepak M,,1,A276
277,168,Kiran Y,27,2,A277
278,169,Rashid Khan,26,1,A278
279,170,Lokesh R,45,2,A279
280,170,Anil Kumble,41,2,A280
281,171,Sharan B,30,1,A281
282,172,Lokesh R,22,2,A282
283,172,Sharan B,53,2,A283
284,173,Arjun Singh,25,2,A284
285,174,Monica S,26,2,A285
286,174,Sneha Reddy,18,2,A286
287,175,Pradeep N,24,1,A287
288,175,Vijay Patil,54,1,A288
289,176,Suresh Poojari,46,1,A289
290,176,Arjun Singh,40,1,A290
291,177,Rajesh K,53,2,A291
292,178,Monica S,33,2,A292
293,178,Pradeep N,51,1,A293
294,178,Suresh Poojari,38,1,A294
295,179,Suresh Poojari,34,3,A295
296,180,Hari Prasad,46,1,A296
297,181,Sharan B,,2,A297
298,181,Santosh R,29,1,A298
299,182,Jane Smith,18,1,A299
300,183,Santosh R,53,2,A300
301,184,Sneha Reddy,18,2,A301
302,184,Pradeep N,32,2,A302
303,185,Deepak M,,1,A303
304,186,Vikram Raj,39,1,A304
305,187,Satish Shetty,29,2,A305
306,188,Ravi Teja,53,2,A306
307,188,Prakash Rai,51,1,A307
308,188,Rahul Dev,26,1,A308
309,189,Santosh R,,1,A309
310,190,Sneha Reddy,20,1,A310
311,190,Prakash Rai,,2,A311
312,191,Anil Kumble,45,1,A312
313,192,Rahul Dev,,1,A313
314,192,Hari Prasad,40,2,A314
315,192,Manoj Kumar,43,2,A315
316,193,Satish Shetty,34,1,A316
317,193,Manoj Kumar,44,2,A317
318,194,John Doe,37,1,A318
319,195,Sneha Reddy,47,2,A319
320,195,Vikram Raj,47,2,A320
321,196,Sharan B,38,1,A321
322,196,Monica S,43,2,A322
323,197,Rohit Verma,,2,A323
324,198,Anil Kumble,23,1,A324
325,199,Rashid Khan,25,1,A325
326,199,Sneha Reddy,41,1,A326
327,200,Suresh Poojari,43,1,A327
328,200,Jane Smith,19,1,A328
329,201,Jane Smith,20,1,A329
330,201,Naveen Gowda,28,1,A330
331,201,Monica S,25,1,A331
332,202,Vikram Raj,33,1,A332
333,202,Hari Prasad,25,1,A333
334,203,Manoj Kumar,40,2,A334
335,204,John Doe,37,2,A335
336,204,Kiran Y,35,1,A336
337,205,Suresh Poojari,,3,A337
338,205,Deepak M,45,2,A338
339,206,Arjun Singh,38,2,A339
340,207,Ravi Teja,27,2,A340
341,208,Vikram Raj,49,2,A341
342,208,Satish Shetty,36,2,A342
343,208,Monica S,46,1,A343
344,209,Vikram Raj,48,2,A344
345,209,Sharan B,24,1,A345
346,209,Pradeep N,22,2,A346
347,210,Rahul Dev,22,2,A347
348,210,Arjun Singh,25,2,A348
349,211,Satish Shetty,23,2,A349
350,212,Ravi Teja,22,1,A350
351,212,Monica S,36,1,A351
352,212,Pradeep N,31,2,A352
353,213,Pradeep N,37,1,A353
354,214,Hari Prasad,33,1,A354
355,214,Lokesh R,39,2,A355
356,215,Jane Smith,20,1,A356
357,215,Prakash Rai,53,1,A357
358,215,Pradeep N,19,2,A358
359,216,Prakash Rai,,1,A359
360,216,Rohit Verma,32,2,A360
361,217,Anil Kumble,44,2,A361
362,218,Prakash Rai,47,2,A362
363,219,Arun Kumar,24,1,A363
364,220,Vikram Raj,51,2,A364
365,220,Monica S,,1,A365
366,221,Lokesh R,44,2,A366
367,222,Sneha Reddy,25,2,A367
368,222,Lokesh R,40,1,A368
369,223,John Doe,52,1,A369
370,224,Rohit Verma,,1,A370
371,224,Prakash Rai,27,2,A371
372,224,Lokesh R,44,2,A372
373,225,Suresh Poojari,36,2,A373
374,226,Rahul Dev,30,1,A374
375,227,Monica S,27,2,A375
376,228,Vijay Patil,35,1,A376
377,229,Arun Kumar,22,1,A377
378,229,Hari Prasad,,1,A378
379,230,Pradeep N,34,1,A379
380,231,Satish Shetty,39,1,A380
381,232,Rashid Khan,28,3,A381
382,233,Sneha Reddy,,2,A382
383,233,Suresh Poojari,48,1,A383
384,234,Suresh Poojari,,2,A384
385,234,Satish Shetty,36,1,A385
386,235,Vikram Raj,54,2,A386
387,235,Rahul Dev,33,1,A387
388,236,Hari Prasad,49,1,A388
389,237,Suresh Poojari,28,2,A389
390,237,Anil Kumble,24,2,A390
391,238,Sharan B,42,1,A391
392,239,Rahul Dev,52,1,A392
393,239,Jane Smith,43,1,A393
394,239,Arjun Singh,46,2,A394
395,240,Suresh Poojari,18,2,A395
396,240,Kiran Y,40,1,A396
397,241,Arjun Singh,34,1,A397
398,241,Ravi Teja,47,1,A398
399,242,Rahul Dev,35,2,A399
400,243,Arun Kumar,51,2,A400
401,243,Lokesh R,32,2,A401
402,244,Deepak M,55,2,A402
403,244,Lokesh R,49,1,A403
404,244,Naveen Gowda,,1,A404
405,245,Monica S,43,2,A405
406,246,Ravi Kumar,36,1,A406
407,247,Sharan B,21,2,A407
408,247,Rohit Verma,50,1,A408
409,247,Sharan B,44,1,A409
410,248,Manoj Kumar,27,1,A410
411,249,Deepak M,34,1,A411
412,249,Deepak M,54,1,A412
413,250,Prakash Rai,31,2,A413
414,250,Lokesh R,39,2,A414
415,250,Arun Kumar,,2,A415
416,251,Santosh R,45,1,A416
417,251,Naveen Gowda,51,2,A417
418,251,Rohit Verma,53,2,A418
419,252,Hari Prasad,25,2,A419
420,252,Lokesh R,39,2,A420
421,252,Hari Prasad,28,2,A421
422,253,Rahul Dev,54,2,A422
423,253,Arun Kumar,24,1,A423
424,254,Pradeep N,21,2,A424
425,255,Vijay Patil,,1,A425
426,255,Santosh R,52,2,A426
427,256,Rashid Khan,33,2,A427
428,256,Ravi Teja,55,1,A428
429,257,Prakash Rai,19,2,A429
430,258,Satish Shetty,49,1,A430
431,258,Rohit Verma,24,2,A431
432,258,Rahul Dev,,2,A432
433,259,Naveen Gowda,25,1,A433
434,259,Jane Smith,48,1,A434
435,260,Suresh Poojari,40,1,A435
436,261,Sharan B,44,1,A436
437,261,Kiran Y,,2,A437
438,261,Santosh R,32,1,A438
439,262,Anil Kumble,,1,A439
440,262,Sneha Reddy,21,2,A440
441,262,Arjun Singh,,1,A441
442,263,Hari Prasad,41,1,A442
443,264,Satish Shetty,,1,A443
444,264,Arun Kumar,51,2,A444
445,265,Vijay Patil,37,1,A445
446,266,Rashid Khan,,1,A446
447,267,Arun Kumar,42,2,A447
448,267,Anil Kumble,40,2,A448
449,267,Rohit Verma,38,1,A449
450,268,Deepak M,29,2,A450
451,268,Jane Smith,50,1,A451
452,268,Pradeep N,52,1,A452
453,269,Rohit Verma,41,1,A453
454,269,Anil Kumble,48,2,A454
455,269,Anil Kumble,30,1,A455
456,270,Manoj Kumar,21,2,A456
457,270,Suresh Poojari,51,2,A457
458,271,Deepak M,35,1,A458
459,271,Lokesh R,27,2,A459
460,272,Vijay Patil,36,1,A460
461,273,Santosh R,23,1,A461
462,273,Jane Smith,53,1,A462
463,273,Ravi Teja,20,1,A463
464,274,Sneha Reddy,34,2,A464
465,275,Lokesh R,49,2,A465
466,275,Vikram Raj,19,1,A466
467,276,Vijay Patil,22,2,A467
468,276,Manoj Kumar,54,1,A468
469,276,Pradeep N,48,1,A469
470,277,Kiran Y,26,2,A470
471,278,Arun Kumar,32,2,A471
472,278,Vikram Raj,47,1,A472
473,279,Satish Shetty,40,2,A473
474,280,Suresh Poojari,20,2,A474
475,280,Deepak M,18,2,A475
476,281,Vikram Raj,,1,A476
477,282,Arun Kumar,48,1,A477
478,283,Jane Smith,43,2,A478
479,283,Anil Kumble,52,2,A479
480,283,Deepak M,42,1,A480
481,284,Deepak M,43,2,A481
482,284,Hari Prasad,27,2,A482
483,284,Rohit Verma,34,2,A483
484,285,Rashid Khan,27,1,A484
485,285,Rahul Dev,28,1,A485
486,286,Satish Shetty,51,2,A486
487,286,Sneha Reddy,22,2,A487
488,287,Santosh R,45,2,A488
489,287,Rohit Verma,23,1,A489
490,288,Santosh R,41,2,A490
491,289,Ravi Teja,32,2,A491
492,289,Hari Prasad,21,1,A492
493,290,Rashid Khan,36,2,A493
494,290,Lokesh R,53,1,A494
495,291,Pradeep N,53,2,A495
496,291,Prakash Rai,35,1,A496
497,292,Satish Shetty,19,2,A497
498,293,Rohit Verma,34,1,A498
499,294,Arun Kumar,55,2,A499
500,294,Manoj Kumar,40,1,A500
501,294,Pradeep N,49,2,A501
502,295,Sneha Reddy,39,2,A502
503,295,Prakash Rai,30,2,A503
504,296,Sharan B,52,3,A504
505,296,John Doe,,2,A505
506,297,Rohit Verma,39,1,A506
507,298,Kiran Y,38,1,A507
508,299,Vikram Raj,31,1,A508
509,300,Arun Kumar,35,1,A509
510,301,John Doe,39,1,A510
511,301,Satish Shetty,51,2,A511
512,301,Rashid Khan,33,2,A512
513,302,Sharan B,34,1,A513
514,303,Naveen Gowda,54,2,A514
515,303,Anil Kumble,33,2,A515
516,303,Vikram Raj,26,1,A516
517,304,Rohit Verma,32,3,A517
518,305,Manoj Kumar,52,1,A518
519,306,Naveen Gowda,52,2,A519
520,307,Monica S,,1,A520
521,307,Sharan B,47,1,A521
522,307,Anil Kumble,,1,A522
523,308,Manoj Kumar,36,1,A523
524,309,Hari Prasad,19,1,A524
525,309,Pradeep N,25,1,A525
526,310,Manoj Kumar,32,2,A526
527,311,Pradeep N,25,2,A527
528,311,Vikram Raj,,2,A528
529,312,Prakash Rai,44,1,A529
530,313,Sharan B,31,1,A530
531,314,Sharan B,29,1,A531
532,315,Rashid Khan,55,1,A532
533,315,Pradeep N,28,2,A533
534,316,Naveen Gowda,21,2,A534
535,316,Monica S,44,1,A535
536,317,Rahul Dev,45,1,A536
537,318,Arjun Singh,,2,A537
538,318,Rohit Verma,38,1,A538
539,319,Lokesh R,19,2,A539
540,320,Pradeep N,28,2,A540
541,321,Ravi Teja,52,1,A541
542,321,Manoj Kumar,38,2,A542
543,322,Monica S,29,1,A543
544,322,Jane Smith,52,2,A544
545,323,Ravi Teja,43,2,A545
546,324,Sharan B,47,1,A546
547,324,Anil Kumble,35,2,A547
548,325,Arjun Singh,43,2,A548
549,326,Arjun Singh,,2,A549
550,326,Vijay Patil,24,2,A550
551,326,Jane Smith,29,2,A551
552,327,Prakash Rai,41,2,A552
553,327,Suresh Poojari,26,2,A553
554,327,Rohit Verma,45,2,A554
555,328,Vijay Patil,32,2,A555
556,328,Hari Prasad,36,2,A556
557,329,Arjun Singh,47,1,A557
558,329,Deepak M,34,2,A558
559,330,Sharan B,28,1,A559
560,331,John Doe,29,2,A560
561,331,Lokesh R,49,1,A561
562,332,Rohit Verma,28,1,A562
563,332,Monica S,55,2,A563
564,333,Jane Smith,20,2,A564
565,334,Kiran Y,26,1,A565
566,335,Lokesh R,27,2,A566
567,335,Ravi Teja,35,1,A567
568,335,Hari Prasad,23,2,A568
569,336,Deepak M,26,2,A569
570,337,Suresh Poojari,51,2,A570
571,338,Hari Prasad,47,1,A571
572,339,Sneha Reddy,50,2,A572
573,340,Rahul Dev,34,2,A573
574,341,Monica S,,1,A574
575,341,Satish Shetty,45,1,A575
576,341,Arun Kumar,53,1,A576
577,342,Santosh R,43,2,A577
578,342,Arjun Singh,54,1,A578
579,343,Suresh P,49,1,A579
580,344,Kiran Y,37,2,A580
581,344,Rohit Verma,55,2,A581
582,344,Jane Smith,26,1,A582
583,345,Arjun Singh,34,1,A583
584,346,Manoj Kumar,27,2,A584
585,347,Pradeep N,44,2,A585
586,348,Arun Kumar,34,2,A586
587,349,Kiran Y,33,1,A587
588,350,Rohit Verma,31,2,A588
589,350,Lokesh R,38,1,A589
590,350,Arun Kumar,52,2,A590
591,351,Manoj Kumar,54,1,A591
592,351,Rahul Dev,28,1,A592
593,352,Anil Kumble,55,2,A593
594,353,Suresh Poojari,,2,A594
595,354,John Doe,26,2,A595
596,355,Manoj Kumar,48,2,A596
597,356,Kiran Y,35,1,A597
598,356,Vijay Patil,46,1,A598
599,357,Suresh Poojari,27,2,A599
600,357,Kiran Y,48,1,A600
601,357,Kiran Y,50,1,A601
602,358,Suresh Poojari,50,1,A602
603,359,Suresh Poojari,46,2,A603
604,360,Monica S,55,2,A604
605,361,Rohit Verma,24,1,A605
606,362,Sneha Reddy,38,2,A606
607,362,Pradeep N,21,1,A607
608,363,Hari Prasad,54,1,A608
609,363,Naveen Gowda,,1,A609
610,364,Vikram Raj,50,2,A610
611,364,Prakash Rai,54,2,A611
612,365,Pradeep N,,2,A612
613,366,Rohit Verma,21,2,A613
614,366,Kiran Y,46,2,A614
615,367,Naveen Gowda,43,1,A615
616,368,Anil Kumble,53,2,A616
617,368,Jane Smith,49,1,A617
618,368,Santosh R,37,1,A618
619,369,Rashid Khan,45,2,A619
620,370,Naveen Gowda,36,1,A620
621,371,Pradeep N,31,2,A621
622,371,Sharan B,45,2,A622
623,372,Rashid Khan,51,1,A623
624,373,Vijay Patil,46,1,A624
625,373,John Doe,48,1,A625
626,373,Arjun Singh,20,2,A626
627,374,Vijay Patil,24,2,A627
628,375,John Doe,22,1,A628
629,376,Anil Kumble,49,2,A629
630,376,Pradeep N,28,1,A630
631,377,Prakash Rai,37,1,A631
632,377,Sneha Reddy,,2,A632
633,377,Rohit Verma,19,2,A633
634,378,Vijay Patil,38,1,A634
635,378,Rashid Khan,28,1,A635
636,379,Jane Smith,50,2,A636
637,380,Sharan B,54,1,A637
638,381,Sneha Reddy,28,1,A638
639,382,Jane Smith,53,2,A639
640,383,John Doe,26,1,A640
641,384,Suresh Poojari,50,1,A641
642,384,Lokesh R,29,1,A642
643,385,Rahul Dev,28,1,A643
644,386,Sharan B,32,2,A644
645,386,Deepak M,28,1,A645
646,387,Rahul Dev,20,1,A646
647,387,Rohit Verma,23,1,A647
648,387,Sharan B,25,2,A648
649,388,John Doe,22,1,A649
650,389,John Doe,20,2,A650
651,390,Hari Prasad,45,2,A651
652,390,Arjun Singh,30,1,A652
653,391,Arun Kumar,19,1,A653
654,392,Rohit Verma,54,2,A654
655,393,Naveen Gowda,47,1,A655
656,394,Prakash Rai,,2,A656
657,394,Monica S,48,1,A657
658,395,Monica S,36,2,A658
659,396,Manoj Kumar,35,1,A659
660,396,Anil Kumble,55,2,A660
661,397,Sneha Reddy,31,1,A661
662,397,Vikram Raj,44,1,A662
663,398,Satish Shetty,30,2,A663
664,399,Vijay Patil,24,1,A664
665,399,Monica S,35,2,A665
666,399,Arun Kumar,47,2,A666
667,400,Prakash Rai,49,1,A667
668,401,Jane Smith,38,1,A668
669,401,Jane Smith,21,1,A669
670,402,Ravi Teja,54,1,A670
671,402,Vikram Raj,36,1,A671
672,403,Satish Shetty,26,1,A672
673,403,Lokesh R,55,2,A673
674,404,Lokesh R,30,2,A674
675,404,Deepak M,48,2,A675
676,404,Sneha Reddy,48,3,A676
677,405,Rashid Khan,33,1,A677
678,406,Deepak M,,2,A678
679,407,Sneha Reddy,42,1,A679
680,408,Sharan B,48,1,A680
681,409,Satish Shetty,43,2,A681
682,410,Sharan B,30,2,A682
683,410,Hari Prasad,20,1,A683
684,411,Vikram Raj,43,1,A684
685,412,Pradeep N,33,2,A685
686,412,Vikram Raj,23,2,A686
687,413,Lokesh R,23,1,A687
688,413,Arjun Singh,36,1,A688
689,413,Santosh R,,2,A689
690,414,John Doe,,1,A690
691,415,Santosh R,40,2,A691
692,415,Rahul Dev,38,1,A692
693,416,Santosh R,,2,A693
694,417,Pradeep N,19,2,A694
695,417,Jane Smith,28,2,A695
696,418,Vikram Raj,47,2,A696
697,418,Monica S,27,2,A697
698,418,Lokesh R,50,2,A698
699,419,Kiran Y,55,2,A699
700,419,Anil Kumble,20,2,A700
701,419,Rahul Dev,,2,A701
702,420,Jane Smith,51,2,A702
703,421,Vikram Raj,35,2,A703
704,422,Jane Smith,46,1,A704
705,423,Rohit Verma,31,2,A705
706,423,Vijay Patil,26,1,A706
707,424,Vijay Patil,33,2,A707
708,424,Hari Prasad,29,1,A708
709,425,Rahul Dev,,2,A709
710,425,Rahul Dev,,1,A710
711,426,Rashid Khan,53,2,A711
712,427,Sharan B,41,2,A712
713,427,Vijay Patil,54,1,A713
714,428,Suresh Poojari,31,1,A714
715,428,Naveen Gowda,55,2,A715
716,429,Rashid Khan,43,1,A716
717,429,Pradeep N,27,2,A717
718,430,Hari Prasad,26,2,A718
719,431,Jane Smith,39,2,A719
720,432,Rohit Verma,54,1,A720
721,433,Arjun Singh,49,1,A721
722,434,Sneha Reddy,47,2,A722
723,434,Satish Shetty,31,2,A723
724,434,Deepak M,39,1,A724
725,435,Anil Kumble,38,2,A725
726,435,Ravi Teja,55,1,A726
727,436,Anil Kumble,,2,A727
728,437,Deepak M,54,2,A728
729,437,Manoj Kumar,50,2,A729
730,438,Kiran Y,,1,A730
731,438,Lokesh R,47,1,A731
732,439,Sharan B,44,2,A732
733,439,Naveen Gowda,35,1,A733
734,440,Anil Kumble,19,1,A734
735,440,Manoj Kumar,47,2,A735
736,441,Arun Kumar,28,2,A736
737,441,Hari Prasad,18,1,A737
738,441,Ravi Teja,46,1,A738
739,442,Naveen Gowda,47,2,A739
740,443,Arjun Singh,49,2,A740
741,443,Vikram Raj,51,1,A741
742,444,Prakash Rai,45,2,A742
743,445,Satish Shetty,48,1,A743
744,445,Sharan B,36,1,A744
745,446,Hari Prasad,,2,A745
746,447,Sneha Reddy,20,1,A746
747,447,Sharan B,,1,A747
748,448,Rashid Khan,52,2,A748
749,448,Hari Prasad,18,1,A749
750,449,Naveen Gowda,39,2,A750
751,449,Manoj Kumar,25,2,A751
752,450,Anil Kumble,54,2,A752
753,451,Sharan B,19,1,A753
754,452,Rashid Khan,36,2,A754
755,452,Arun Kumar,25,2,A755
756,452,Ravi Teja,44,1,A756
757,453,Prakash Rai,46,2,A757
